,course_title,url,price,num_subscribers,level,Rating,content_duration,published_timestamp
121,HTML5 canvas Bootcamp for beginners 25 easy steps,https://www.udemy.com/html5-canvas-course-for-beginners/,120.0,14118.0,All Levels,0.64,2.0,2016-03-01T23:04:23Z
122,The Complete Web Developer Bootcamp - Beginner to Expert,https://www.udemy.com/job-ready-web-developer/,190.0,14103.0,All Levels,0.78,21.5,2015-01-19T00:23:15Z
123,Learn Complete Web Development From Scratch,https://www.udemy.com/learn-complete-web-development-from-scratch/,40.0,14074.0,All Levels,0.66,12.0,2013-10-23T09:23:00Z
124,How to Make an Online Portfolio Website from Scratch,https://www.udemy.com/how-to-make-a-portfolio-website-photographers-designers/,0.0,14026.0,All Levels,0.66,1.0,2015-10-02T22:59:15Z
125,Learn Html5 & CSS3 from scratch,https://www.udemy.com/learn-html5-css3-from-scratch/,20.0,13960.0,All Levels,0.4,2.5,2014-07-26T22:24:03Z
126,Web Design Creating websites from scratch,https://www.udemy.com/web-design-creating-websites-from-scratch/,75.0,13920.0,All Levels,0.41,2.0,2016-09-19T22:32:38Z
127,jQuery Fundamentals Powerful Bootcamp for beginners,https://www.udemy.com/jquery-fundamentals-bootcamp-learn-how-to-use-jquery/,150.0,13882.0,Beginner Level,0.74,3.0,2015-08-04T18:54:44Z
128,Learn Complete WordPress for Building a Professional Sites,https://www.udemy.com/learn-complete-wordpress-for-building-a-professional-sites/,80.0,13708.0,All Levels,0.78,9.0,2016-06-23T23:38:02Z
129,Code a 'Coming Soon' Landing Page in Bootstrap 4,https://www.udemy.com/code-a-coming-soon-landing-page-in-bootstrap-4/,0.0,13535.0,Beginner Level,0.87,1.5,2016-08-17T05:08:23Z
130,Vue JS - Mastering Web Apps,https://www.udemy.com/vue-web-apps/,80.0,13457.0,All Levels,0.21,4.5,2017-04-06T16:57:56Z
131,The Complete WordPress Website Business Course,https://www.udemy.com/the-complete-wordpress-website-business-course/,150.0,13439.0,Beginner Level,0.11,20.5,2016-11-01T23:50:51Z
132,JavaScript Step by Step how to apply it to your web pages,https://www.udemy.com/javascript-fundamentals-bootcamp-learn-how-to-use-javascript/,100.0,13406.0,All Levels,0.54,1.5,2015-07-26T17:44:17Z
133,WordPress Backup And Restore Fundamentals,https://www.udemy.com/wordpress-backup-and-restore-fundamentals/,0.0,13242.0,All Levels,0.74,1.0,2014-06-24T19:23:44Z
134,Serverless Architecture on Amazon Web Services,https://www.udemy.com/serverless-architecture-on-aws/,0.0,13210.0,Beginner Level,0.54,0.55,2016-11-30T00:11:26Z
